artifact_id,image,rank,source_type,accession_number,score,oxford_type,oxford_image,pitts_description,oxford_description,reasons
fig_007,fig_007.jpg,2,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, representing a king or noble on horseback sitting sideways, his hands upheld by attendants, one of whom has a long thin Two attendants, with helmets or hair sword in his hand in sheath. represented by ribs, are holding up shields to shelter the king from the The king or noble has a coral choker, badge of rank, with a coral Horse's head-collar hung with crotals. A The two figures above Ground ornamented with foil ornaments small attendant carries a ""manilla"" in his hand. are armed with bows and arrows. necklace hanging on breast. sun. incised. De Bry, ' ; India Orientalis,"" says that in the sixteenth century both the king and chiefs were wont to ride side-saddle upon led horses. They were supported by retainers, who held over their heads either shields or umbrellas, and accompanied by a band of musicians playing on ivory horns, gong-gongs, drums, harps, and a kind of rattle. PLATE 2. 1 Antique Works of Art from Benin.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_007,fig_007.jpg,3,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, representing a king or noble on horseback sitting sideways, his hands upheld by attendants, one of whom has a long thin Two attendants, with helmets or hair sword in his hand in sheath. represented by ribs, are holding up shields to shelter the king from the The king or noble has a coral choker, badge of rank, with a coral Horse's head-collar hung with crotals. A The two figures above Ground ornamented with foil ornaments small attendant carries a ""manilla"" in his hand. are armed with bows and arrows. necklace hanging on breast. sun. incised. De Bry, ' ; India Orientalis,"" says that in the sixteenth century both the king and chiefs were wont to ride side-saddle upon led horses. They were supported by retainers, who held over their heads either shields or umbrellas, and accompanied by a band of musicians playing on ivory horns, gong-gongs, drums, harps, and a kind of rattle. PLATE 2. 1 Antique Works of Art from Benin.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_007,fig_007.jpg,4,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, representing a king or noble on horseback sitting sideways, his hands upheld by attendants, one of whom has a long thin Two attendants, with helmets or hair sword in his hand in sheath. represented by ribs, are holding up shields to shelter the king from the The king or noble has a coral choker, badge of rank, with a coral Horse's head-collar hung with crotals. A The two figures above Ground ornamented with foil ornaments small attendant carries a ""manilla"" in his hand. are armed with bows and arrows. necklace hanging on breast. sun. incised. De Bry, ' ; India Orientalis,"" says that in the sixteenth century both the king and chiefs were wont to ride side-saddle upon led horses. They were supported by retainers, who held over their heads either shields or umbrellas, and accompanied by a band of musicians playing on ivory horns, gong-gongs, drums, harps, and a kind of rattle. PLATE 2. 1 Antique Works of Art from Benin.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_007,fig_007.jpg,5,plaque,1900.39.2,20,plaque,1900.39.2_1.png,"Bronze plaque, representing a king or noble on horseback sitting sideways, his hands upheld by attendants, one of whom has a long thin Two attendants, with helmets or hair sword in his hand in sheath. represented by ribs, are holding up shields to shelter the king from the The king or noble has a coral choker, badge of rank, with a coral Horse's head-collar hung with crotals. A The two figures above Ground ornamented with foil ornaments small attendant carries a ""manilla"" in his hand. are armed with bows and arrows. necklace hanging on breast. sun. incised. De Bry, ' ; India Orientalis,"" says that in the sixteenth century both the king and chiefs were wont to ride side-saddle upon led horses. They were supported by retainers, who held over their heads either shields or umbrellas, and accompanied by a band of musicians playing on ivory horns, gong-gongs, drums, harps, and a kind of rattle. PLATE 2. 1 Antique Works of Art from Benin.",Brass relief plaque depicting a fish,same primary type: plaque
fig_009,fig_009.jpg,1,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, naked figure of boy ; hair in conventional bands ; three tribal marks over each eye and band on forehead. Coral choker, badge of Four rosettes on ground and usual foil De Bry says that all young people went naked until rank. Armlets and anklets. ornaments. marriage.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_009,fig_009.jpg,2,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, naked figure of boy ; hair in conventional bands ; three tribal marks over each eye and band on forehead. Coral choker, badge of Four rosettes on ground and usual foil De Bry says that all young people went naked until rank. Armlets and anklets. ornaments. marriage.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_009,fig_009.jpg,3,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, naked figure of boy ; hair in conventional bands ; three tribal marks over each eye and band on forehead. Coral choker, badge of Four rosettes on ground and usual foil De Bry says that all young people went naked until rank. Armlets and anklets. ornaments. marriage.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_009,fig_009.jpg,4,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, naked figure of boy ; hair in conventional bands ; three tribal marks over each eye and band on forehead. Coral choker, badge of Four rosettes on ground and usual foil De Bry says that all young people went naked until rank. Armlets and anklets. ornaments. marriage.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_009,fig_009.jpg,5,plaque,1900.39.2,20,plaque,1900.39.2_1.png,"Bronze plaque, naked figure of boy ; hair in conventional bands ; three tribal marks over each eye and band on forehead. Coral choker, badge of Four rosettes on ground and usual foil De Bry says that all young people went naked until rank. Armlets and anklets. ornaments. marriage.",Brass relief plaque depicting a fish,same primary type: plaque
fig_010,fig_010.jpg,1,figure,1899.86.13,23,figure,1899.86.13.png,"Bronze j>laque, figure of warrior with helmet or hair rejaresented by ribs. Leaf-shaped sword upheld in right hand. A bundle of objects on head upheld by left. hand. Object resembling a despatch case on left side, fastened by a belt over right shoulder. Human mask on left side. fishes on ground, and the usual foil ornaments incised.",Bronze foot broken from a figure,same primary type: figure | shared material: bronze
fig_010,fig_010.jpg,2,figure,1909.1.2,23,figure,1909.1.2.png,"Bronze j>laque, figure of warrior with helmet or hair rejaresented by ribs. Leaf-shaped sword upheld in right hand. A bundle of objects on head upheld by left. hand. Object resembling a despatch case on left side, fastened by a belt over right shoulder. Human mask on left side. fishes on ground, and the usual foil ornaments incised.",Bronze staff with double human figures at either end,same primary type: figure | shared material: bronze
fig_010,fig_010.jpg,3,figure,1975.7.1,23,figure,1975.7.1.png,"Bronze j>laque, figure of warrior with helmet or hair rejaresented by ribs. Leaf-shaped sword upheld in right hand. A bundle of objects on head upheld by left. hand. Object resembling a despatch case on left side, fastened by a belt over right shoulder. Human mask on left side. fishes on ground, and the usual foil ornaments incised.",Bronze figure of a man wearing a rope harness,same primary type: figure | shared material: bronze
fig_010,fig_010.jpg,4,figure,1980.19.1,23,figure,1980.19.1.png,"Bronze j>laque, figure of warrior with helmet or hair rejaresented by ribs. Leaf-shaped sword upheld in right hand. A bundle of objects on head upheld by left. hand. Object resembling a despatch case on left side, fastened by a belt over right shoulder. Human mask on left side. fishes on ground, and the usual foil ornaments incised.",Bronze figure of a hippo,same primary type: figure | shared material: bronze
fig_010,fig_010.jpg,5,figure,1991.13.4,23,figure,,"Bronze j>laque, figure of warrior with helmet or hair rejaresented by ribs. Leaf-shaped sword upheld in right hand. A bundle of objects on head upheld by left. hand. Object resembling a despatch case on left side, fastened by a belt over right shoulder. Human mask on left side. fishes on ground, and the usual foil ornaments incised.",Ivory ladle with inlaid bronze and a bronze human figure on the handle,same primary type: figure | shared material: bronze
fig_011,fig_011.jpg,1,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, representing a figure holding a ball, perhaps a Three tribal marks Skirt wound ujj Four Skirt ornamented with a head and hands. Crest on head-dress, feather in Coral choker, badge of rank. cannon ball, in front. behind left shoulder. over each eye. Four caja. rosettes on ground, and usual foil ornaments incised. Guilloche on sides of plaque. PLATE 3. _'.-\~^.- Antique Works of Art from Benin.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_011,fig_011.jpg,2,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, representing a figure holding a ball, perhaps a Three tribal marks Skirt wound ujj Four Skirt ornamented with a head and hands. Crest on head-dress, feather in Coral choker, badge of rank. cannon ball, in front. behind left shoulder. over each eye. Four caja. rosettes on ground, and usual foil ornaments incised. Guilloche on sides of plaque. PLATE 3. _'.-\~^.- Antique Works of Art from Benin.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_011,fig_011.jpg,3,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, representing a figure holding a ball, perhaps a Three tribal marks Skirt wound ujj Four Skirt ornamented with a head and hands. Crest on head-dress, feather in Coral choker, badge of rank. cannon ball, in front. behind left shoulder. over each eye. Four caja. rosettes on ground, and usual foil ornaments incised. Guilloche on sides of plaque. PLATE 3. _'.-\~^.- Antique Works of Art from Benin.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
fig_011,fig_011.jpg,4,plaque,1900.39.1,20,plaque,1900.39.1.png,"Bronze plaque, representing a figure holding a ball, perhaps a Three tribal marks Skirt wound ujj Four Skirt ornamented with a head and hands. Crest on head-dress, feather in Coral choker, badge of rank. cannon ball, in front. behind left shoulder. over each eye. Four caja. rosettes on ground, and usual foil ornaments incised. Guilloche on sides of plaque. PLATE 3. _'.-\~^.- Antique Works of Art from Benin.",Brass relief plaque depicting a human figure,same primary type: plaque
fig_011,fig_011.jpg,5,plaque,1900.39.2,20,plaque,1900.39.2_1.png,"Bronze plaque, representing a figure holding a ball, perhaps a Three tribal marks Skirt wound ujj Four Skirt ornamented with a head and hands. Crest on head-dress, feather in Coral choker, badge of rank. cannon ball, in front. behind left shoulder. over each eye. Four caja. rosettes on ground, and usual foil ornaments incised. Guilloche on sides of plaque. PLATE 3. _'.-\~^.- Antique Works of Art from Benin.",Brass relief plaque depicting a fish,same primary type: plaque
fig_013,fig_013.jpg,1,plaque,1908.65.1,24,plaque,1908.65.1.png,"Bronze plaque, figure sword in right hand. of warrior, feather in cap; broad leaf-shaped necklace. Leopards' teeth Coral sash ; ground ornamented with leaf-shaped foil, ornaments Coral choker, badge of rank. incised. staves in their right hands.",Brass plaque with relief decoration depicting a leopard skin,same primary type: plaque | shared feature: leopard
fig_013,fig_013.jpg,2,plaque,1899.86.12,23,plaque,1899.86.12.png,"Bronze plaque, figure sword in right hand. of warrior, feather in cap; broad leaf-shaped necklace. Leopards' teeth Coral sash ; ground ornamented with leaf-shaped foil, ornaments Coral choker, badge of rank. incised. staves in their right hands.",Bronze plaque with the image of a serpent,same primary type: plaque | shared material: bronze
fig_013,fig_013.jpg,3,plaque,2012.103.12,23,plaque,2012.103.12.png,"Bronze plaque, figure sword in right hand. of warrior, feather in cap; broad leaf-shaped necklace. Leopards' teeth Coral sash ; ground ornamented with leaf-shaped foil, ornaments Coral choker, badge of rank. incised. staves in their right hands.",Rectangular bronze plaque with fish motif,same primary type: plaque | shared material: bronze
fig_013,fig_013.jpg,4,plaque,2012.103.13,23,plaque,2012.103.13_1.png,"Bronze plaque, figure sword in right hand. of warrior, feather in cap; broad leaf-shaped necklace. Leopards' teeth Coral sash ; ground ornamented with leaf-shaped foil, ornaments Coral choker, badge of rank. incised. staves in their right hands.",Rectangular bronze plaque with three standing figures,same primary type: plaque | shared material: bronze
